Colombia	 male	35-54 	0.058943
Colombia	 female	5-14 	0.006501
Colombia	 male	5-14 	0.006728
Colombia	 female	55-74 	0.009455
Colombia	 male	55-74 	0.072826
Colombia	 female	75+ 	0.007002
Colombia	 male	75+ 	0.114073
Croatia	 female	15-24 	0.023647
Croatia	 male	15-24 	0.104406
Croatia	 female	25-34 	0.022823
Croatia	 male	25-34 	0.114961
Croatia	 female	35-54 	0.060179
Croatia	 male	35-54 	0.204442
Croatia	 female	5-14 	0.003839
Croatia	 male	5-14 	0.002208
Croatia	 female	55-74 	0.085347
Croatia	 male	55-74 	0.288433
Croatia	 female	75+ 	0.133118
Croatia	 male	75+ 	0.526393
Cuba	 female	15-24 	0.018444
Cuba	 male	15-24 	0.051718
Cuba	 female	25-34 	0.017127
Cuba	 male	25-34 	0.085163
Cuba	 female	35-54 	0.038068
Cuba	 male	35-54 	0.157026
Cuba	 female	5-14 	0.002079
Cuba	 male	5-14 	0.006516
Cuba	 female	55-74 	0.072198
Cuba	 male	55-74 	0.259385
Cuba	 female	75+ 	0.095053
Cuba	 male	75+ 	0.543051
Cyprus	 female	15-24 	0.016620
Cyprus	 male	15-24 	0.056649
Cyprus	 female	25-34 	0.020674
Cyprus	 male	25-34 	0.078513
Cyprus	 female	35-54 	0.015169
Cyprus	 male	35-54 	0.073974
Cyprus	 female	5-14 	0.000000
Cyprus	 male	5-14 	0.000000
Cyprus	 female	55-74 	0.025090
Cyprus	 male	55-74 	0.073732
Cyprus	 female	75+ 	0.000000
Cyprus	 male	75+ 	0.039053
Czech Republic	 female	15-24 	0.020063
Czech Republic	 male	15-24 	0.100972
Czech Republic	 female	25-34 	0.024687
Czech Republic	 male	25-34 	0.148536
Czech Republic	 female	35-54 	0.044582
Czech Republic	 male	35-54 	0.200897
Czech Republic	 female	5-14 	0.003924
Czech Republic	 male	5-14 	0.003425
Czech Republic	 female	55-74 	0.048339
Czech Republic	 male	55-74 	0.223458
Czech Republic	 female	75+ 	0.068542
Czech Republic	 male	75+ 	0.364218
Denmark	 female	15-24 	0.016139
Denmark	 male	15-24 	0.045430
Denmark	 female	25-34 	0.027321
Denmark	 male	25-34 	0.074403
Denmark	 female	35-54 	0.049902
Denmark	 male	35-54 	0.153225
Denmark	 female	5-14 	0.003851
Denmark	 male	5-14 	0.001291
Denmark	 female	55-74 	0.060522
Denmark	 male	55-74 	0.158754
Denmark	 female	75+ 	0.088986
Denmark	 male	75+ 	0.245395
Ecuador	 female	15-24 	0.045697
Ecuador	 male	15-24 	0.089802
Ecuador	 female	25-34 	0.022839
Ecuador	 male	25-34 	0.079416
Ecuador	 female	35-54 	0.013050
Ecuador	 male	35-54 	0.062519
Ecuador	 female	5-14 	0.010394
Ecuador	 male	5-14 	0.014036
Ecuador	 female	55-74 	0.013385
Ecuador	 male	55-74 	0.070923
Ecuador	 female	75+ 	0.009320
Ecuador	 male	75+ 	0.114538
Egypt	 female	15-24 	0.000639
Egypt	 male	15-24 	0.001963
Egypt	 female	25-34 	0.000366
Egypt	 male	25-34 	0.001568
Egypt	 female	35-54 	0.000227
Egypt	 male	35-54 	0.001495
Egypt	 female	5-14 	0.000101
Egypt	 male	5-14 	0.000291
Egypt	 female	55-74 	0.000206
Egypt	 male	55-74 	0.001251
Egypt	 female	75+ 	0.000425
Egypt	 male	75+ 	0.001553
Estonia	 female	15-24 	0.013009
Estonia	 male	15-24 	0.180592
Estonia	 female	25-34 	0.030742
Estonia	 male	25-34 	0.207811
Estonia	 female	35-54 	0.052093
Estonia	 male	35-54 	0.208028
Estonia	 female	5-14 	0.003974
Estonia	 male	5-14 	0.013485
Estonia	 female	55-74 	0.046594
Estonia	 male	55-74 	0.283274
Estonia	 female	75+ 	0.108288
Estonia	 male	75+ 	0.487238
Finland	 female	15-24 	0.046003
Finland	 male	15-24 	0.133668
Finland	 female	25-34 	0.068691
Finland	 male	25-34 	0.217412
Finland	 female	35-54 	0.063473
Finland	 male	35-54 	0.197032
Finland	 female	5-14 	0.001517
Finland	 male	5-14 	0.005857
Finland	 female	55-74 	0.060927
Finland	 male	55-74 	0.188628
Finland	 female	75+ 	0.039879
Finland	 male	75+ 	0.228744
Georgia	 female	15-24 	0.008344
Georgia	 male	15-24 	0.037304
Georgia	 female	25-34 	0.008011
Georgia	 male	25-34 	0.041139
Georgia	 female	35-54 	0.008505
Georgia	 male	35-54 	0.065263
Georgia	 female	5-14 	0.000914
Georgia	 male	5-14 	0.002774
Georgia	 female	55-74 	0.022604
Georgia	 male	55-74 	0.093096
Georgia	 female	75+ 	0.043392
Georgia	 male	75+ 	0.185372
Germany	 female	15-24 	0.020797
Germany	 male	15-24 	0.061190
Germany	 female	25-34 	0.026596
Germany	 male	25-34 	0.100210
Germany	 female	35-54 	0.048529
Germany	 male	35-54 	0.140608
Germany	 female	5-14 	0.002225
Germany	 male	5-14 	0.002040
Germany	 female	55-74 	0.062250
Germany	 male	55-74 	0.178398
Germany	 female	75+ 	0.086600
Germany	 male	75+ 	0.347467
Greece	 female	15-24 	0.005923
Greece	 male	15-24 	0.029802
Greece	 female	25-34 	0.016399
Greece	 male	25-34 	0.047746
Greece	 female	35-54 	0.016649
Greece	 male	35-54 	0.069913
Greece	 female	5-14 	0.000387
Greece	 male	5-14 	0.000429
Greece	 female	55-74 	0.019816
Greece	 male	55-74 	0.086701
Greece	 female	75+ 	0.015725
Greece	 male	75+ 	0.094642
Grenada	 female	15-24 	0.000000
Grenada	 male	15-24 	0.000000
Grenada	 female	25-34 	0.000000
Grenada	 male	25-34 	0.000000
Grenada	 female	35-54 	0.000000
Grenada	 male	35-54 	0.000000
Grenada	 female	5-14 	0.000000
Grenada	 male	5-14 	0.000000
Grenada	 female	55-74 	0.000000
Grenada	 male	55-74 	0.000000
Grenada	 female	75+ 	0.000000
Grenada	 male	75+ 	0.000000
Guatemala	 female	15-24 	0.034059
Guatemala	 male	15-24 	0.050234
Guatemala	 female	25-34 	0.014028
Guatemala	 male	25-34 	0.048463
Guatemala	 female	35-54 	0.008127
Guatemala	 male	35-54 	0.051484
Guatemala	 female	5-14 	0.004513
Guatemala	 male	5-14 	0.003021
Guatemala	 female	55-74 	0.006482
Guatemala	 male	55-74 	0.046187
Guatemala	 female	75+ 	0.004816
Guatemala	 male	75+ 	0.040322
Hong Kong SAR	 female	15-24 	0.037817
Hong Kong SAR	 male	15-24 	0.076448
Hong Kong SAR	 female	25-34 	0.056525
Hong Kong SAR	 male	25-34 	0.121201
Hong Kong SAR	 female	35-54 	0.068001
Hong Kong SAR	 male	35-54 	0.139313
Hong Kong SAR	 female	5-14 	0.006200
Hong Kong SAR	 male	5-14 	0.005083
Hong Kong SAR	 female	55-74 	0.084824
Hong Kong SAR	 male	55-74 	0.159806
Hong Kong SAR	 female	75+ 	0.157753
Hong Kong SAR	 male	75+ 	0.300446
Hungary	 female	15-24 	0.014904
Hungary	 male	15-24 	0.080471
Hungary	 female	25-34 	0.030391
Hungary	 male	25-34 	0.134503
Hungary	 female	35-54 	0.072275
Hungary	 male	35-54 	0.259149
Hungary	 female	5-14 	0.001000
Hungary	 male	5-14 	0.002025
Hungary	 female	55-74 	0.098131
Hungary	 male	55-74 	0.374764
Hungary	 female	75+ 	0.144723
Hungary	 male	75+ 	0.597746
Iceland	 female	15-24 	0.020543
Iceland	 male	15-24 	0.159146
Iceland	 female	25-34 	0.059664
Iceland	 male	25-34 	0.217518
Iceland	 female	35-54 	0.058564
Iceland	 male	35-54 	0.164639
Iceland	 female	5-14 	0.000000
Iceland	 male	5-14 	0.000000
Iceland	 female	55-74 	0.086162
Iceland	 male	55-74 	0.143376
Iceland	 female	75+ 	0.125245
Iceland	 male	75+ 	0.260225
Iran (Islamic Rep of)	 female	15-24 	0.033810
Iran (Islamic Rep of)	 male	15-24 	0.050729
Iran (Islamic Rep of)	 female	25-34 	0.015760
Iran (Islamic Rep of)	 male	25-34 	0.042476
Iran (Islamic Rep of)	 female	35-54 	0.011525
Iran (Islamic Rep of)	 male	35-54 	0.032404
Iran (Islamic Rep of)	 female	5-14 	0.004682
Iran (Islamic Rep of)	 male	5-14 	0.003958
Iran (Islamic Rep of)	 female	55-74 	0.008571
Iran (Islamic Rep of)	 male	55-74 	0.024690
Iran (Islamic Rep of)	 female	75+ 	0.013245
Iran (Islamic Rep of)	 male	75+ 	0.030258
Israel	 female	15-24 	0.009078
Israel	 male	15-24 	0.037429
Israel	 female	25-34 	0.016672
Israel	 male	25-34 	0.053974
Israel	 female	35-54 	0.018435
Israel	 male	35-54 	0.080924
Israel	 female	5-14 	0.000697
Israel	 male	5-14 	0.004818
Israel	 female	55-74 	0.023109
Israel	 male	55-74 	0.077205
Israel	 female	75+ 	0.037186
Israel	 male	75+ 	0.136765
Italy	 female	15-24 	0.010375
Italy	 male	15-24 	0.037046
Italy	 female	25-34 	0.014078
Italy	 male	25-34 	0.061241
Italy	 female	35-54 	0.025709
Italy	 male	35-54 	0.085121
Italy	 female	5-14 	0.001472
Italy	 male	5-14 	0.001528
Italy	 female	55-74 	0.029042
Italy	 male	55-74 	0.101968
Italy	 female	75+ 	0.028752
Italy	 male	75+ 	0.181049
Japan	 female	15-24 	0.052857
Japan	 male	15-24 	0.134893
Japan	 female	25-34 	0.081386
Japan	 male	25-34 	0.209767
Japan	 female	35-54 	0.088933
Japan	 male	35-54 	0.236585
Japan	 female	5-14 	0.004209
Japan	 male	5-14 	0.007953
Japan	 female	55-74 	0.100714
Japan	 male	55-74 	0.240686
Japan	 female	75+ 	0.115356
Japan	 male	75+ 	0.265928
Kazakhstan	 female	15-24 	0.076068
Kazakhstan	 male	15-24 	0.188118
Kazakhstan	 female	25-34 	0.058055
Kazakhstan	 male	25-34 	0.320852
Kazakhstan	 female	35-54 	0.055006
Kazakhstan	 male	35-54 	0.352747
Kazakhstan	 female	5-14 	0.010199
Kazakhstan	 male	5-14 	0.018588
Kazakhstan	 female	55-74 	0.040989
Kazakhstan	 male	55-74 	0.282424
Kazakhstan	 female	75+ 	0.098727
Kazakhstan	 male	75+ 	0.348288
Kyrgyzstan	 female	15-24 	0.043426
Kyrgyzstan	 male	15-24 	0.082917
Kyrgyzstan	 female	25-34 	0.025074
Kyrgyzstan	 male	25-34 	0.115798
Kyrgyzstan	 female	35-54 	0.025964
Kyrgyzstan	 male	35-54 	0.152681
Kyrgyzstan	 female	5-14 	0.011303
Kyrgyzstan	 male	5-14 	0.023261
Kyrgyzstan	 female	55-74 	0.021356
Kyrgyzstan	 male	55-74 	0.116657
Kyrgyzstan	 female	75+ 	0.040108
Kyrgyzstan	 male	75+ 	0.093220
Latvia	 female	15-24 	0.024951
Latvia	 male	15-24 	0.154557
Latvia	 female	25-34 	0.029995
Latvia	 male	25-34 	0.238857
Latvia	 female	35-54 	0.049593
Latvia	 male	35-54 	0.304662
Latvia	 female	5-14 	0.000000
Latvia	 male	5-14 	0.004721
Latvia	 female	55-74 	0.063526
Latvia	 male	55-74 	0.347849
Latvia	 female	75+ 	0.095756
Latvia	 male	75+ 	0.441823
Lithuania	 female	15-24 	0.048149
Lithuania	 male	15-24 	0.294960
Lithuania	 female	25-34 	0.063755
Lithuania	 male	25-34 	0.390416
Lithuania	 female	35-54 	0.087456
Lithuania	 male	35-54 	0.566451
Lithuania	 female	5-14 	0.015726
Lithuania	 male	5-14 	0.009975
Lithuania	 female	55-74 	0.089150
Lithuania	 male	55-74 	0.561386
Lithuania	 female	75+ 	0.153050
Lithuania	 male	75+ 	0.607300
Luxembourg	 female	15-24 	0.022651
Luxembourg	 male	15-24 	0.056842
Luxembourg	 female	25-34 	0.021777
Luxembourg	 male	25-34 	0.064993
Luxembourg	 female	35-54 	0.037091
Luxembourg	 male	35-54 	0.127864
Luxembourg	 female	5-14 	0.008874
Luxembourg	 male	5-14 	0.007445
Luxembourg	 female	55-74 	0.099572
Luxembourg	 male	55-74 	0.196934
Luxembourg	 female	75+ 	0.072834
Luxembourg	 male	75+ 	0.180054
Malta	 female	15-24 	0.019561
Malta	 male	15-24 	0.050252
Malta	 female	25-34 	0.023499
Malta	 male	25-34 	0.092133
Malta	 female	35-54 	0.018974
Malta	 male	35-54 	0.135209
Malta	 female	5-14 	0.012006
Malta	 male	5-14 	0.009748
Malta	 female	55-74 	0.014141
Malta	 male	55-74 	0.079510
Malta	 female	75+ 	0.000000
Malta	 male	75+ 	0.112975
Mauritius	 female	15-24 	0.044769
Mauritius	 male	15-24 	0.133743
Mauritius	 female	25-34 	0.052059
Mauritius	 male	25-34 	0.153893
Mauritius	 female	35-54 	0.020411
Mauritius	 male	35-54 	0.146920
Mauritius	 female	5-14 	0.012869
Mauritius	 male	5-14 	0.000000
Mauritius	 female	55-74 	0.015357
Mauritius	 male	55-74 	0.063013
Mauritius	 female	75+ 	0.018830
Mauritius	 male	75+ 	0.078237
Mexico	 female	15-24 	0.027301
Mexico	 male	15-24 	0.079709
Mexico	 female	25-34 	0.017900
Mexico	 male	25-34 	0.081380
Mexico	 female	35-54 	0.013695
Mexico	 male	35-54 	0.073283
Mexico	 female	5-14 	0.005724
Mexico	 male	5-14 	0.007441
Mexico	 female	55-74 	0.009508
Mexico	 male	55-74 	0.066637
Mexico	 female	75+ 	0.004349
Mexico	 male	75+ 	0.085707
Netherlands	 female	15-24 	0.029466
Netherlands	 male	15-24 	0.059020
Netherlands	 female	25-34 	0.038764
Netherlands	 male	25-34 	0.091751
Netherlands	 female	35-54 	0.064340
Netherlands	 male	35-54 	0.158760
Netherlands	 female	5-14 	0.002597
Netherlands	 male	5-14 	0.001318
Netherlands	 female	55-74 	0.073477
Netherlands	 male	55-74 	0.150010
Netherlands	 female	75+ 	0.054684
Netherlands	 male	75+ 	0.159138
Nicaragua	 female	15-24 	0.044572
Nicaragua	 male	15-24 	0.082927
Nicaragua	 female	25-34 	0.020347
Nicaragua	 male	25-34 	0.098226
Nicaragua	 female	35-54 	0.011159
Nicaragua	 male	35-54 	0.080869
Nicaragua	 female	5-14 	0.011350
Nicaragua	 male	5-14 	0.003589
Nicaragua	 female	55-74 	0.009907
Nicaragua	 male	55-74 	0.077059
Nicaragua	 female	75+ 	0.006463
Nicaragua	 male	75+ 	0.074549
Norway	 female	15-24 	0.038951
Norway	 male	15-24 	0.085695
Norway	 female	25-34 	0.052989
Norway	 male	25-34 	0.127970
Norway	 female	35-54 	0.063394
Norway	 male	35-54 	0.141547
Norway	 female	5-14 	0.002540
Norway	 male	5-14 	0.003811
Norway	 female	55-74 	0.073447
Norway	 male	55-74 	0.143538
Norway	 female	75+ 	0.033689
Norway	 male	75+ 	0.158126
Panama	 female	15-24 	0.012720
